"HolderAddress","Balance","PendingBalanceUpdate"
"0xc7fcd1d4f90f83879798e1bb9e0748f35738dfb7","134045960","No"
"0xa4d82f73949cb2ed1be03c0f1c134a3dbbbcbd50","631620.948361169","No"
"0xa30cc541b41c4c9cb8a16167f60826706fa84b91","19","No"
"0x8f1c582b85259f7bbdb8c093f58268131a4ecd87","574171.961064375","No"
"0x1b3006d57d5d9653a4ecaea6cfb0fd72a1537cc9","1E-18","No"
"0x0b9bd43964db50924f03a0a8110856859f8c503b","86.1384229874737","No"
"0x39074b2b4434bf3115890094e1360e36d42ecbbd","1631.24109564722","No"
"0xb627a1d66b57434a3a36337ab0029fc9a54fe48f","0.00208186150842381","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
"0xf9664e255b9e4fc4884feb23d11df58d8a5e2822","1911.80727449219","No"
"0x0fe2808f1691b193fe4e3c0c6774fdc6facf421c","110722.868004544","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-18","No"
"0x8566bc043b12fd2fcad965d21122757a15ae1f73","20000","No"
"0xa2dcb52f5cf34a84a2ebfb7d937f7051ae4c697b","202817.87818","No"
"0x2e8456253c365b009844534c117b031f4ab88c61","55000","No"
"0x98c149e666cb3052c57c5d9818b41c82deddf350","6249.99","No"
"0xf2c95079e35a27c296b01759431e05c38e392a21","9500","No"
"0x406cbfc2d391bed42078138165465128b4e0cb06","6320","No"
"0x0d0ba30a1405f99eebc2c930ab0eec511c8aaea8","10000","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0xe5bcb087e8083ce080cad255644511e5b94c90d1","114394.136525044","No"
"0x50bda015ae50ebd50cb6d3f7a342630ac5f88c1c","26658.4731011537","No"
"0x392cb8d8280e1a61faa3c3fd608ac63eaf05ce9f","5.11040371175E-07","No"
"0x6679716b422b90cfcad899e15e2d08f847199752","392.576347551791","No"
"0x9241d307b2bb1d36e4166a3dc6ae350633c41bdb","18","No"
"0x6d67ffb0f25259f499a25a635e4e26c090d0bb24","1.20113295134124","No"
"0x951328f40a549bc6fd9b3f3adf5d4b6e6720f981","6902","No"
"0xa0a06ee0418629a73fbfebc355e48d345f5f60ef","6902","No"
"0x2e06a13ecaaaccdaa5a9551e4ffb9e855aace743","4145","No"
"0x2057cbf2332ab2697a52b8dbc85756535d577e32","3791","No"
"0x513da4a12d9e42b6b3fec554fea9e38a2525e4f3","6426","No"
"0x6941f45c846955cc077e459ab283e21b5a85960b","8204","No"
"0x8c3de1634251d1e51c28844391fc9c11abb9f5e4","6836","No"
"0xa053162b902caebf31d837f36691f1e7fff93b90","3206","No"
"0xce3bd76a757350c85839988079a2a0acf27ec8f4","35000","No"
"0xf1dd513be34d03812d2e05c1ab352261c437cde5","4272.01","No"
"0x00290ffc9e9d19bda7b25c6e44d8adf55dfbf2dd","94196.1010773829","No"
"0x15fda64fcdbca27a60aa8c6ca882aa3e1de4ea41","124363.42","No"
"0xe115fca2746b97fc3c049252ceca3ff3a41343a9","1072.695","No"
"0x0aa350fb487f75d4f5d6ed920a5ae0923ded06e1","33004.39","No"
"0x5ffc32c736ed221add02af2af6ad6659a6ddbbb5","5292.27","No"
"0xe26f86e51a598ddc6fe19414fc3bd895bde1dcea","1450.88","No"
"0xf1523733e380f28d2f701f3e2cb067391b894919","6908.965","No"
"0xcf07d97889f1b2c2bdd8c2c91b0a639f867b00a2","6907.965","No"
"0xd4762d0da2243ce50d72c9624f94f7038ac40762","400","No"
"0x8b90b067d02132fc7c5cdf64b8cac04d55abc2b2","4669.1429","No"
"0x42ea0d2ba0a05f7025b3111f9cfc297bec03748f","5885.82","No"
"0x6d6d75d544cb628ed5c4e4ebb619aec0274b8855","2031.27","No"
"0xd00c583ec73cb2c3aeedf29ca33b4c6523541308","73872.2677189176","No"
"0xd7b8e4affc276d534afc03ce12fccf4525413c4d","105925.142411827","No"
"0x150be62edddd543452545e502bcaf6800bcaf2d6","530.73","No"
"0x88dacef3e4c70cead135ae092ab2e7eb13790cd6","3507.07","No"
"0x13fe663677d87ddae288e394208e9125c5667224","7382","No"
"0xec717bd388345aa270b36c10900c311014efa642","14382","No"
"0x5c7fd9500f5a7cd93f5377edc88fa1b8194a4380","12000.0497500375","No"
"0x293df745d884beac9cafb957949f2f7ae9934de2","42763.64","No"
"0x3901bd6f64c3b71a8bbabceb40e93359171feb06","21818.18","No"
"0x293dfc5cc6a7bbc85aabea61c236cb61bc3cbe01","10360","No"
"0x5eeea333e4d3a09b8885020c8abdaea2da565f16","13445.3779823529","No"
"0xdf518026560887c9b1b235cb5be0899e4147fc9c","1025.45","No"
"0x13a86449686ff27a905ebb31b38e584168893ccc","2000","No"
"0xe677811a85b67c6d2fd0cac2e450ac34b4cc474d","109088","No"
"0xc8d46eb7881975f9ae15216feeba2ff58e55803c","26000.9183280196","No"
"0xae77f2a6d9e52db6a9761f13200093868ae06255","40336.1339470588","No"
"0xf45d68eb4605b677063861e5a887d1b2894cab83","5652","No"
"0xa44f5778d0901664aab180114f7284d7fd2fc4cf","8964","No"
"0x98cfd69a5eab5fb085c28ae0158938d5db83c511","4945","No"
"0x7022bf29c1119324ce7518526bd52db1c95ea72d","4624.92729532082","No"
"0x28faf1599a9c3a9b8463dfeb23d06b6495ae91bc","38698.4251341776","No"
"0x78fec32317e524d953db63b8c9de0f1f5b131b9d","1243.25794590504","No"
"0xa4ee2105030eb2ff8239e8d3b97843f76487fbff","9.2616752709226E-05","No"
"0x44bdb19db1cd29d546597af7dc0549e7f6f9e480","90692.9725598414","No"
"0xd8641082c374fa879fffd90d60c830739948925b","1596.65743798642","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0xa83c572c8072f3b11562f08b89d4f3077682acdb","9579.83193117647","No"
"0xfb2b2095c002da09bee251e62ab67d28005097cf","10000","No"
"0xdd98051c107f8d3e92d2f588d2cb748efb27fa3a","710.256125183355","No"
"0x8fba0e5ce45b138f823481bef8f18434acecad2f","1000","No"
"0x9ab339ba0a344804dc69e78e2b89edc6412c3252","812.818870389342","No"
"0x5296fed6c931a65675ac64e2c1843587dfc8ff39","200","No"
"0xdcbc0c22eb301fd12266892bdc21b316b88f494a","4709.47990893317","No"
"0x7fac100430262a1cf08fa6ea2c4190714dc6cfcd","5689.23163380058","No"
"0x5a39b59a1361a8cbb5e6d7208adbb0b076a5a218","1350","No"
"0xc7753d4a5763517213b0f14fd58982a028ab07d3","16398.431498331","No"
"0x4bc32dcd65061c069fdbef3f371c460e534afd95","1777.75550183281","No"
"0x0eed6e8adccce3eb1d4d6f791f245b0bab7b3de0","5.264673060909E-05","No"
"0x77bac8bc894ca3afee59ab1766812ab78bcdb64b","26890.7559647059","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","1E-18","No"
"0xabc17e042c79940d4894c17e27f564ebda6012c0","11000","No"
"0x5fa96c80fa2688cf09a2a5adf4aaf3e9e6462354","8928.75925739996","No"
"0x378730f7caf68780d1ed8c14cd389adb25c35759","3000.5985533218","No"
"0xe6c97c44445b50e63f3ead08861bd1f081346b77","273.370685463449","No"
"0xf5ffec2c1cbfbb0c0ac9c97b3d0c563db7f63d00","34087","No"
"0x11870868e393a568ca572bb742bfe642253e55a6","8792.70252811163","No"
"0x7d43106d1bab0ded316be5111c8db8d66898996d","1500","No"
"0xacf5c924ca4a12e484254ddfb89a2e7a383014b5","894.851216249932","No"
"0xc4f07f33194100cb566098a752fcd1251dabc065","2427.37546447748","No"
"0x9cc928dff6f29d4074c438053c21021eeab0863c","7203.25442810151","No"
"0xaa1672c469b57ce49eaad6e381715855cbb7cf57","0.355964705882353","No"
"0xa13df282bbad6058eb216f774030c35782104b7d","1055.98320249223","No"
"0xd8392301577a264c98343668f1dba2ab3f4135a8","596.299661040929","No"
"0xc60d1429084887d705e30e6560632d013a47fe0f","126068","No"
"0x5f28e2392b9fb0421ae3a7f2c64f6caab8ba7753","1256.88120557829","No"
"0x815612815d7fb01b1e8a97fe4a0996e77245a3aa","38545.376","No"
"0xb351f6a8d070cb72ca9483cfc685c00e6039efd2","9817.792","No"
"0x4a5bb1c9347a0d4f7e06a29239162f03647d9232","45000","No"
"0x39af8e69233e891cb2c5d7f257a50b743f0db085","1292.81924162703","No"
"0x65c277bc6452a0a683b6a3b2bba12fc70d2691b0","16085.5017122713","No"
"0x9497be209984c99a1f6370c81b0fcb61e49a06bd","0.904317591863077","No"
"0xceae4043d3d2e1e75e8a5fe16bab7176ea9d035c","24000","No"
"0x0ef096f372c88a44cb1290261b28631035af27ce","5000","No"
"0x08608176e1d6ac5be11de8403805d4b339899a1b","475.421202094583","No"
"0xa2ddcd908a75100a691517e59e72b35ffd7275cf","4275.927273","No"
"0x54fea403ffa6971a244b38324f71ce1230ab8260","3454.455","No"
"0xcce8d59affdd93be338fc77fa0a298c2cb65da59","387940.542888359","No"
"0x156d44652cda51cd21533b750736124c3e07c5a2","479.203980678797","No"
"0xb6f1b49b929198ecdf3595cc30fb76eea426fedc","2921.35636862087","No"
"0xd6ee257dc510ff6682fa54689d87ace46c8c79cf","500","No"
"0x68ef102a93a28f68d6b378e3f054631b97729b77","8.4881919579941E-05","No"
"0x7a5509e03b1a9d75a4106900f5a014888833dc91","8308.35930945254","No"
"0xbf740c8ebde2d15b2c930809979ade549fc9199e","31625.9147368965","No"
"0x93ca1e3d7b3706836f9d29d44e91698e4c5dd55a","3630.28","No"
"0x84f6a19565dccba715dc18b73c1653a60e32a9ee","3447.85750716861","No"
"0x8998351a76551eeaa7568180c7f7d27957ae5cbe","1410.20597494599","No"
"0xf6fea1a217a3a189707b94cd37bb0f0a9ff0006c","4304.97985664817","No"
"0xffa0a4ebe21235efc0d083fc453e927cb2a5e768","17572.1552231531","No"
"0xe2730eaa85fdb3ace1a1ef72b11f7bf33918a16d","1458.1236622408","No"
"0x20e0e86d92cc1a6ab6aa3c1b7b28760477a8d29b","8370.40184850405","No"
"0x85330b3a8ac3209c9b16791470f9a69c5cb44970","2200","No"
"0x14a41245e8e2cb63af7d696be561d11ede404069","803.608403827734","No"
"0x8c0c9c008d94a3e342a3dcb5ce36adb6d572ddc4","11273.0118575549","No"
"0x4d994c16b1ff34925622a8656f47c82851f41532","14212.6703014007","No"
"0x1c362e4c1b0e0c168f4c6eda2ceebbbfe2fa3a1d","1871.93039729699","No"
"0xb8d627234c90a1913d3d1931cc231181e700cb2d","1055.08681531691","No"
"0xbd9c45731542e167c920f857b65319b203d8cf40","1500","No"
"0x164ff942225f15b2335c5a6aa99decf04650bfd9","16031.0428823395","No"
"0x8af74a55936ed855a676cb93e839bc4a1d307639","774.996845797766","No"
"0xce9fc8efac320fe963ec21721c81d668a0876dd8","500","No"
"0xa82c2391932392a774300e592c3387265f344092","7500.91391462761","No"
"0x4bede6f67be997ae703e6fa1abb9579cf5fdacac","724.954811920368","No"
"0x9b33a4bf25f3bc1381de4a0150963b5a38ff9841","322.024642482517","No"
"0xc9354e168767ed800e77b54b2f1c42215875ca56","7.38964897748E-07","No"
"0xb9f1064bb5a8215a92eb10b9a8d5060460477ad6","2500","No"
"0x52662d6854f173eb3197cc3c7dd141dad613ffd8","5000","No"
"0x4f00120ca37d594c8f20755975871671bf7123fe","60403.7031115243","No"
"0x039489b475cccc6d290a7a231cc68815f10e9344","2494","No"
"0xb5f58ca2737823b7defd6f666df153d6c0984256","1.40027E-13","No"
"0xe459ae0dc31194fa0fd626020a25d9a1cef0047d","500.000453878793","No"
"0x23e9731e62555c09d296ae0f99c1ac962158620e","1000","No"
"0x325eb495c667e5c892e55767440a78445b95580e","1830","No"
"0x76e399714e1d3467affa4f54c0bdeb240cbb640c","68673.5180640141","No"
"0x58bc44e3f32240855741ac7ab819cf67b7c77ce8","1596.0478062598","No"
"0x1285176b8242e0c6b0f51f2e34093534bb9140ab","5994.55214948012","No"
"0xa015b28879eb2dee6453bbf63096e6c70ee690a8","2600.26967587337","No"
"0x32345932bc863f54ef87e2ece3d458f1789b1bfc","500","No"
"0xf9b2ed98435db651b7fd6675fba8151defe7f397","1334","No"
"0x2d6e61eb73b66dd934160fde29133ff6bc2fbbbe","1404.60828803599","No"
"0xe7cb08374b6c901af07247d6ebb66968a0cede4f","9048.56353337737","No"
"0x101e64cbf2207e8dbc1df5f20e2454290a16c263","802.985060331804","No"
"0x3253dff5fcea82d33a608d9a27c14b19e530d8e9","57979.010301307","No"
"0xa6e202f7b9e34e0ab4594b8a5228460020f8f4f7","32832.4813459926","No"
"0x40158e1d5eaa2dc589552464010fe81b1b3a23f5","1500","No"
"0xfd2e1b72bec34c50127ad9305a5c6a9e4e830ee6","3368.08112867397","No"
"0x39c5afbc9990817f354b8c1d23ffdf5d096f44d9","12703.5692577436","No"
"0x25ec46923712ee98c2094c9b9f5f9a810a5df4c7","150","No"
"0x1e898214714748faa2779b5d0b20f908b5ac2ef8","1041.59223102992","No"
"0xeebb231cd90dea655a1415e5cb8cd885ccc0503c","86","No"
"0x4790310a4a6ea1c11f403055303c3c2109dc247f","7478.641113993","No"
