"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000084e91743124a982076c59f10084","1E-06","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","2445.496012","No"
"0x000000005be1b41f8ed12d32409c8475e83f2ee3","1E-06","No"
"0x00000000b1786c9698c160d78232c78d6f6474fe","0.827591","No"
"0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c","1E-06","No"
"0x00000000f515b28e81a0e98ea3f4f816ef7e62b2","1E-06","No"
"0x0000000fac3c36158a6e9d42b99998d4f35bd64b","158502.248722","No"
"0x000000be85f636189fbe8f384a760a8c0779580b","164648.378538","No"
"0x000000dcf1190af44f7149b85299f18ce7221024","400","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-06","No"
"0x0041227a6ace56e5d4c78c860991f195963a1836","161000","No"
"0x0050b3be6ffa42a00f490ec1bd54a0d510533217","400","No"
"0x00548c6503d6093e3bbe6142d49d1110bc94fe73","2420523.237913","No"
"0x005d639fc115311f65b919290ca7ef8659459239","10500000","No"
"0x00868ca5a7f41bd3e509179fa34e884b91ebd4c7","151534.049641","No"
"0x0090b2e09d45c63c7f74fb0039e3fd47683bf6c1","1","No"
"0x009ac489c2ce60a5e789e63996b74f9bdbda1a78","150000","No"
"0x009e8675b19be214d3f620e90c5e0de7a13c3c5a","1180471.196375","No"
"0x00adfc500b3e41ee753cd0f111860015c90b723b","80000","No"
"0x00b7760de12149a7bc6f112623518b42a32da61b","500000","No"
"0x00c646bb7304fe2e83c355d8baca8a55666a3d24","2311293.864164","No"
"0x00f3ab067bb3aea40d805926686fc072721066f8","500000","No"
"0x010b9eed9bc4f8874f02fee8b3d7f87e569bb063","891220.262711","No"
"0x01181be6c5aaafa05def979100ef73bb8c0e53f0","400","No"
"0x0122639df99e153a7036af8fde0e8e6a4ee26bfe","66084.402656","No"
"0x012f3976c93260f7e4ce1289638278a870b6678d","123854.16049","No"
"0x014664b6a9090932f2f3675c0240910605c4e75c","87264.017363","No"
"0x01722e18d45442324a423d56a71ce54510b767ad","421853.445067","No"
"0x01738932331743396b306b07c66a553466715c5e","5000000","No"
"0x0178a929e24b3caea0f05ab4d20f611419177ed3","836944.258757","No"
"0x01856eb0d8638b9202d57141542dd160d400627e","67973.140236","No"
"0x01b5b55dd06680813caab77b4f3be42d95d8e35c","500000","No"
"0x01b618ffcdaf2daae6d1aeb230021f4ce0addbb0","240000","No"
"0x01c0bd4dbc178c9f2e84c545603e0f0392d1a553","96832.650131","No"
"0x01cc1a92aafe7e49a0f18c3fafd3684ea829d9a4","1682716.746124","No"
"0x01df05ac0537407f6806fe2b043cc90cff0309ef","400","No"
"0x01e8321566d399fe4697febb7f1f44e51401ae6e","400","No"
"0x01eb6473764bc4bd80b8b4b9ab8c26e8b892f6c9","212403.369679","No"
"0x02043e2e95975ff6e150e1d04ce21cadee9400ac","500000","No"
"0x0206f63df623b1b853434fae0020a1f6a1398e4e","20939020","No"
"0x0209c45f23c183558de13d79385d3d196b6813d6","72439.869853","No"
"0x021cd2b66e8769a0e7312e90f2fc70be7a8b7699","157302.814758","No"
"0x0225c9cc9a6413812b15ad1c706c3c8b90c0459f","115220.618595","No"
"0x02282280005508ce98b330066b8552d0336f2c17","90235","No"
"0x02564439e843f28fae4f8a4ef20329e855cf9f7d","60500000","No"
"0x025bc0c05c939bce0f738856e50f6ec07e9d1d49","400","No"
"0x026663f0843d8801984a0bd37226f6b7b1afcd29","76077.431309","No"
"0x0273437e938e275bfe97044af4f20042dd3d8606","21555.682318","No"
"0x029fb389bef50524c8ce7c2d741f0cb448f613be","423641.926427","No"
"0x02b51a2574fd5136271bb64dbef53e414de37f66","264659.941334","No"
"0x02bf171d3d6db2fef2b2c178a32f05e057afbcbb","10500000","No"
"0x02c7dc6c1ec30aa6f198ab20187d003fc5dd80ae","99989.873629","No"
"0x02ca37bd34f52075fe1463369bf608f1e50d7308","400","No"
"0x02cf055c4b356795f633eacdaf427f92f2f8ba2c","11568.553564","No"
"0x02e163dae10b921c7eb874387264f51c18734377","301175.323883","No"
"0x02eadb3f644361235521b1912dfd7c179c29d98c","114671.799097","No"
"0x02f3f7c161083ae907a7481aa7fa5842bc249b0d","831340.081422","No"
"0x030ad33a69efec2216b051f0857780baf75f5ef6","75000","No"
"0x030c26255c6711402391e66139a40bccd514458d","0.765041","No"
"0x030d6830dc8ff125850390da620fa3e12decd437","400","No"
"0x031444027bf99fff3fcb242f67a238741b0f3539","406173.914981","No"
"0x03273be1222eb9ed04ee36519199230be120dad5","293000","No"
"0x0337296bc4d511cc78c0b581fc5b7fea2d3244fe","294296.367787","No"
"0x0337d85f79a17c868232212554b4c858e78a8f30","158885.529739","No"
"0x03380a38a7eb5e32e17051fada1760e174e1b04f","178703.721205","No"
"0x035483926d143b394eb9fc8b974b44ebf338dfc7","400","No"
"0x035761c889098bcf957499878c0181ef589927d6","100000","No"
"0x035d6a88e37ee2091b7f119be2bde9026501906f","200000","No"
"0x037ccb56123a91aa89f419813ba07a74af12ead6","8277.633723","No"
"0x038cebe370c9eaaeab8f68dedc525870052368d8","183667.334317","No"
"0x03a246b320d6e56659d0429ac1be6ddbecc42de9","500000","No"
"0x03b7045c6d2c06344df174f382d98a452e51736f","56511.32772","No"
"0x03c2dc60f837f05dc39c2a4adc147e5d9cd5ce84","260854.753667","No"
"0x03d4566d13ca7c7b30c39666b1f21ff97bee3f97","367596.298607","No"
"0x03d862e699f6be93437eaf877860efffca1a53ae","20000","No"
"0x03f1ec9e7df623c4bb2cd90765aa0b73b1bc503e","500000","No"
"0x03fa296fd73b7604d8a483b15e22cef6c685ffc5","156396.514003","No"
"0x043dade74fef6bfbc144d1819cb03d686b7e262d","58481.369064","No"
"0x0478657e34303591aa889dd5e265a93d59c99961","400","No"
"0x0489076a0d17394835af93cd62acff703b6814a9","400","No"
"0x0491fca4f4189c1776189d0f34ee80d6488218b8","141943.543067","No"
"0x04aed4cf95f02ef5ec696c99788e34361bc80088","2801475.275722","No"
"0x04b14c1d3a63c9fc5a41ee0e98cd61cb997528df","362985.987472","No"
"0x04b291b6ace8c68a9265742979494a540206b1ff","400","No"
"0x04dc6792cdf6f04acf894780cfb486fd0987ae86","506077.037992","No"
"0x04e82663888c821f3b038cacc300ee1e7a3e7c75","100000","No"
"0x050105006fccffe6091461964be69199879703ca","150000","No"
"0x0504ae29fdaae0d5c17bd3fc376a992ef0ecf855","178459.020862","No"
"0x0506eaa8a05046630d85eaabcbd89975bde03109","50000","No"
"0x05072411590c27e5a9e83c0024216f96a527446c","107490.365464","No"
"0x050f788d09395724777a67dd08be127cf70dd238","6814.553689","No"
"0x05139623b4659714c7e1f0ce76bfa5856b8f6620","297021.23949","No"
"0x052564eb0fd8b340803df55def89c25c432f43f4","400","No"
"0x0538d2c341c8da8087f4ad59b31c36fac6378c99","6819.778018","No"
"0x053b7031187c21bb34e97d1adba3453257482166","185289.546112","No"
"0x054c050c3930a9712066c0c43bcde53498d6670e","400","No"
"0x054fd92863b76224741413e4c49103333ac49548","175049.41048","No"
"0x056dd429b2071b683d4e8110e407a426e9fc7e30","500000","No"
"0x0575d52465bf30e9c0bfc3fd7256e4743a2f11fd","800000","No"
"0x057fd17a3b55db70c1033c88b4e2376bf5a8fdba","223000","No"
"0x0594d0f926c395f14f2e5663c050fe0af3e472f0","400","No"
"0x05a1867393a21e9138d0577b1ce7fcb65cf19228","35000","No"
"0x05c20fe2f4690a692b36e53c6605320b23cb34ba","10500000","No"
"0x05cbb38bb03c00ccec86f7496ce253309db00994","162531.065967","No"
"0x05cfd06f7a69e581437bdf7ab2848163c13f6813","168136.918207","No"
"0x05d6ef5f59d7d5371134927d9fe5605c02f6d63d","50784.674585","No"
"0x05e11de553a95955151d9815ef96ad0cd8daf6de","400","No"
"0x05f2ee6dc3fc2763e3f0735f02cf1ac750c27da5","400000","No"
"0x0617ffff8461971e8e4e4e1f59813e042f84c111","125000","No"
