"HolderAddress","Balance","PendingBalanceUpdate"
"0xe5befa16a1b19f2258e5c90bb69e2998d0e0a46b","597900","No"
"0xb60532ecb43adbc915686e6532f7662437288f61","800000000","No"
"0x145ba25920420aa3f29ca38a424fb7dbcb83de9b","1920002.36118791","No"
"0x078f090f42b120f6b7fb0f1df08673e28ae68909","324000000","No"
"0x70e080feee1a26cd7761f7bb6f515de9b9af4384","1115645.1253","No"
"0x340c8974f60b9a2e77098ec1afcd2aee7f1d6b09","306000000","No"
"0x104c4efcc4a847cba2598b272a5bf29aebee3dca","850000000","No"
"0xad1a0be01d9e5b59162436b673993c77af023fe6","300000000","No"
"0x744315a8a56a07b18ca0e57dd3bce63fd1e07ded","2100000000","No"
"0xf5971f9af82eb1e51d7bf1d5a8364793b54ccbcb","1000000000","No"
"0x216909ab9d87bc4f58b98b803e8596e29b6510a0","800000000","No"
"0xaba06e5ab80ee09165c231cb7555587b2861d686","1000000000","No"
"0x8dc3cd6ceb6732f6a9bc669d8a3d48dd204cec02","400000000","No"
"0x3e9afaa4a062a49d64b8ab057b3cb51892e17ecb","5060849.10861727","No"
"0x162a805f746d5ad7a149536641f5eb933b95f38c","1680592.30676082","No"
"0x66241e1f9d20cd34ddcce098a4c7ea8beddaf7eb","0.0002","No"
"0xebdb873653e1d3a8184e0b4f09ab32a24cb66308","0.005","No"
"0x2811191441c0c63896cc82494004bf7f2326cacc","99.99746","No"
"0xe0deb97487bddf4c28ab1aa169179db0da625b29","34042528.3458816","Yes"
"0xb27fb4eef88ee06768c12e67d409f1c2d7fe3ec9","5030947.14819005","No"
"0xe5216a7d3c43e76a312b983070c1cbdfd0a98c7c","664000","No"
"0xeb9c11efe97a6a52ae63989b8034801d237401fd","5896854.78399562","No"
"0xf7e859712811668b91888a5e1a00c4726dd42e5c","0.923995309383259","No"
"0xf97f172b4b6807c2f64e7d74b2b2fe989363ace0","1337960","No"
"0x735871775575233e701924ab6428e5a33f5d132d","218859.071","No"
"0x821757f97875eb2e19179763a6668fedd05e6afa","2952329.19639652","No"
"0x73cfdc8e1b2ee26eb0e27d0b7f6e750ead331557","3178225.81722204","No"
"0xc6afd3395f02fcce7379b6c4ef708c61153b7238","688833.39482233","No"
"0xc37f94cbe3faca5ee9b973f09c509b5502b1e5dc","8.772660637E-09","No"
"0xd45c769d00b8e73268b213940145953b337d8c15","4520475.71754611","No"
"0x0000000071e801062eb0544403f66176bba42dc0","1E-18","No"
"0x13fe663677d87ddae288e394208e9125c5667224","590128","No"
"0x40ec122c1924fc69dea835d710215f36626c943b","1566035","No"
"0x3481fba85c1b227cd401d4ef2e2390f505738b08","957115.42112367","No"
