"HolderAddress","Balance","PendingBalanceUpdate"
"0xde2fe7645af306ee377b81cb4c1f1c140726a97e","88150.295083017","No"
"0x8da66b6e90cac30db0dce239086cfdb2dbf66a30","455874.406953554","No"
"0x964a07e16cc6b408bcd02e7fcc7e59b4c54bf767","198587.729922923","No"
"0xae2c3bfe6c5e15d99c25245a23f70f57a09d91e8","110","No"
"0x01254dd813d0e5a9982563678a82bd32fa3eff0e","125","No"
"0x01aae09b6f6398595834debdc16d7ee5108e6509","698","No"
"0x01b320a0852dc9842cd2932681b7ec7d3f156703","805","No"
"0x03bb87299d0199654ebc3307c217bd402dc72cad","248","No"
"0x03f06b57a73fb8a8c083a78c0aeacd307d3ced68","847","No"
"0x061f4ea36cc4559ccdfddfce0b0d512752107196","777","No"
"0x073cd0650e33ba3b1ea8848f6e2e5582671a344f","487","No"
"0x07ab7c2392f3f87d8587e8cbce0b97b62cb72a23","333","No"
"0x0996154a3dd20cc3446d63e3e62c1fab2f709102","374","No"
"0x0a12272a7b236b8b38d27d122d4c7fa718cf4427","409","No"
"0x120fc2a2c08f9ba61897dea9099f19ef4509d621","900","No"
"0x12eb5e039050a235b4253d1b4d2a9ca12957fb75","595","No"
"0x130592a94d945067dd0b59ce3c4ae127ec4b629b","304.1546334","No"
"0x132bca10e66428e2b32482289c9d13eb6ca059f3","850","No"
"0x13621cfb8490b516094f26fede105ff7243c3120","947","No"
"0x00a0d011f6074d169414d7e0ce6978a886200500","2719","No"
"0x00917c598ecaf76d5c7d23829e225e0bd2acd699","700040","No"
"0x00a43f83e26e57a3b407be528e2839bd02824dc0","3829","No"
"0x00badc8ff3d4cb1a353bdbbf389464b96ab1a878","255","No"
"0x00e7f1e60030e04e39b84cae0c65175ecb71fe94","3948028","No"
"0x02645400feb5eea1d21da281635f25e01dbf4f7a","497","No"
"0x02a9d8b095c047e20f56b6bb00f37ff4ec7a4094","100000","No"
"0x02c72dfd03137fbcf2d81d24bbe2fa66aef6d601","489","No"
"0x02f6b2671faddb9041283fa180eca74a5fda3dc8","15372.6235760875","No"
"0x038065f8d8bf24101ffc7983d8baa426856a1f19","100","No"
"0x039cae033ca9f0d49c0ed52c5dfa5e80d9af276e","77420.7053847948","No"
"0x03fea254cfa7434004e8d495725bcbb7ccc40454","150565.00211","No"
"0x0408988c7246963428dd30e90d685b6c7eed46c8","1500","No"
"0x043670e31dccdcf06037ab0975429c4bb30b02e2","11913.481","No"
"0x05885b1a66f95893d26b5f010fe63fff7a2c9327","10000.7319771348","No"
"0x08f8bd4819c40d7d1863d5c0888812b37a5dbc1f","903","No"
"0x09059e62dae7b068bfcf39de3d4846b1e1b45880","370","No"
"0x090e0bb4c5731c3ed08e2084f1595c81671e9c6f","1000","No"
"0x09430565e3a38884fedd42e5fd0e05656f7b24b2","287500","No"
"0x0a44c2d8b9fb65b6185baf480b9085d7c58bb94e","2028","No"
