"HolderAddress","Balance","PendingBalanceUpdate"
"0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5","14917316.3402772","No"
"0x68e48c7a395b5431bad9093b15558adc46d0fa7b","3522.50750170628","No"
"0x7a8582bc958dee43eae0cde004bbc3c55bd8aa01","1733349.50883617","No"
"0x0455ea966197a69eccf5fc354b6a7896e0fe38f0","3.3333333198E-05","No"
"0xc9d0bdcc892a7fdffe0da642089cb4eb8c1ffd80","3139862.27549495","No"
"0x442747e725d0e1d1fe46c3635f8e01253b6d1ec7","46515.0477568458","No"
"0x0d0d1745393aff2dacf1778702525a2b1162be5a","2285.33367915196","No"
"0x331ba849507c87b345844d39a4c3f67e96b83b0a","4813486.9043491","No"
"0xe5767ade043d95c35e9723f7a463d25278ce6d4b","2375.85310473914","No"
"0x5eade2ec8962f6a7b44cb047fc2f99d96a782c8c","11170.4389572082","No"
"0x2f2285e405f3153ec59eb634767ebca1d94f6de3","4500000","No"
"0xa6135114bd01a3416374609aa0be5b5c2b4255be","6022000","No"
"0x5bb456cd09d85156e182d2c7797eb49a43840187","1E-18","No"
"0xde61a5a4b8f7960070bd3ff5dc66f2e421a46fe3","69466.3089381011","No"
"0x7ba0763dbc0698e45f12c4da120885b97a4407fc","9.60268541259E-07","No"
"0x8bfff78edbfa534fe52dd87d945dac9a671957ae","1500","No"
"0xa3a69b76ccee1aa8cc4cdd66bd2cd8de7c7e1e99","235.724043096292","No"
"0x315506572727307d6547c99753217a1a56da3e54","10000","No"
"0x004b76db854c5ac4aec9916a5b833cb752438728","38218.7020031516","No"
"0x2112cfa37902fe98077a6feac743835b06577c7a","2853866.666","No"
"0x8f0fde499b3f9e1b1fed503dff15843f1e75e7c5","101630.551468547","No"
"0xfc58382e2913a24807f7fdc76dbca0d23dc1bb3f","1318313.11615409","No"
"0xb6c1e5e13276638cb37bed89189a2528543791d2","9800","No"
"0x22bb895c0ad5bdaa1cb4f6e081a2649ef4a813ad","253604.30723315","No"
"0xfd648cc72f1b4e71cbdda7a0a91fe34d32abd656","90000","No"
"0x97e12bd75bdee72d4975d6df410d2d145b3d8457","5851149.23647296","No"
"0x6ca22765c34dfe6b6296b0301d47c9638398d372","12448","No"
"0xa2d030277c89af4d263b0e969b457886d5a38ef7","164755.383172036","No"
"0xb5da70fa271a74de6eec29df94073442ceede614","419083","No"
"0x467da98eab7729288a7f09732b278db11c9df9c5","2000","No"
"0x286b534a51d5dab251746f369bb31126631e316d","30890.3852008336","No"
"0x921309844fab63f7af73f130ed71088d10ac438d","43369072.05455","No"
"0xb66d08d8df98cdc2a321abc6854a12ff96ca1c5c","300817","No"
"0x62da9c7b43ba72595640ea0937a0cdee94e7340e","475535","No"
"0xaa7c562c561372137122dc02d72f9c8a28f6dde6","2172749.423","No"
"0xe2992e000d54cd177d857843dd999979f09af3d9","25966.3894695812","No"
"0x6abc0cd67713a75a53fd23b541b1461c468b0c53","1500000","No"
"0x9a2874292a84d58bade075bcb7ade3b5f105bbaa","204338","No"
"0xc444439b5ab8f27b47f9e2efa023e733ff04eb10","10000","No"
"0x5d7979d076f09a6c4b0e6d86446b89be9cce4eb6","89138.639471161","No"
"0x6ecfec95256fd703185ed2b98a35bf843bb7ff64","71769.9724952339","No"
"0x68ff3fadd4b81fb05afee273c4b5b7db74cf8a0d","2","No"
"0xf3f31d7dffaf3b3b88bf5d181a57faee6f1f2b0a","100","No"
"0x029a261e37eb94236e8f7f562e20a80807d37199","1000","No"
"0x736ed51d11e8ced9ccfa229ab5b2cbc5dfd40d4e","48355.0886404328","No"
"0x0ac0a666ece6c5eee85b60a6c73a66d353680b74","1.50028159743998","No"
"0x6635de616c831aab7fd597bc2139655f0b8b2bc5","50000.1011747044","No"
"0x94fb842f6de612f06661d1b7f061aee20d256d9a","237777.982067397","No"
"0x17ed68fde80a3962c4c3910231680f81e3de0956","25000","No"
"0x1e66637df0dc4171ec1a542929967c8a659ee09c","75.0084837138243","No"
"0x19b243e97d900f8a32228dcac77429cffb3b7ba2","7862.39467792062","No"
"0xee1e8b3b5788b1eb2a73c482298866534a1c61cb","8907352.26527787","No"
"0x33edd419b05e8f519792f50380fa4bec775d4c7f","91000","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
"0xd6fbab6becbc5df3c3173defb1b17cd69f64156d","1112724.35512863","No"
